,icd_code,count_control,count_case,description,control_without,case_without,control_prevalence,case_prevalence,odds_ratio,in_codelist,fisher_exact
305,0DBB0ZZ,312.0,20.0,"Excision of Ileum, Open Approach",120594.0,1026.0,0.25805170959257606,1.9120458891013385,7.534487929224771,False,1.9187641025873966e-11
318,0DN80ZZ,292.0,11.0,"Release Small Intestine, Open Approach",120614.0,1035.0,0.2415099333366417,1.0516252390057361,4.390027132552445,False,7.519986102077529e-05
341,0FB13ZX,266.0,13.0,"Excision of Right Lobe Liver, Percutaneous Approach, Diagnostic",120640.0,1033.0,0.22000562420392702,1.24282982791587,5.707589399442459,False,1.171240918339933e-06
352,4601,257.0,15.0,Exteriorization of small intestine,120649.0,1031.0,0.21256182488875655,1.4340344168260037,6.830039212430227,False,2.007991620035941e-08
387,5423,238.0,12.0,Biopsy of peritoneum,120668.0,1034.0,0.1968471374456189,1.147227533460803,5.884043365895681,False,2.2044120161308174e-06
419,0D1B0Z4,212.0,27.0,"Bypass Ileum to Cutaneous, Open Approach",120694.0,1019.0,0.17534282831290424,2.581261950286807,15.084794563667673,False,6.709859647785111e-22
479,3E0336Z,184.0,11.0,"Introduction of Nutritional Substance into Peripheral Vein, Percutaneous Approach",120722.0,1035.0,0.15218434155459612,1.0516252390057361,6.9730203738710355,False,1.2226024799175945e-06
494,4593,180.0,80.0,Other small-to-large intestinal anastomosis,120726.0,966.0,0.14887598630340926,7.648183556405354,55.54451345755694,False,1.389478804852444e-99
536,5022,160.0,15.0,Partial hepatectomy,120746.0,1031.0,0.1323342100474749,1.4340344168260037,10.979570805043647,False,4.632430485403984e-11
569,4610,152.0,14.0,"Colostomy, not otherwise specified",120754.0,1032.0,0.12571749954510117,1.338432122370937,10.777208282333742,False,2.530088138730256e-10
612,4620,141.0,15.0,"Ileostomy, not otherwise specified",120765.0,1031.0,0.11661952260433725,1.4340344168260037,12.461047939410198,False,8.887764163135448e-12
653,5424,131.0,11.0,Closed [percutaneous] [needle] biopsy of intra-abdominal mass,120775.0,1035.0,0.10834863447637007,1.0516252390057361,9.798465906995611,False,5.042186972820694e-08
762,4685,109.0,11.0,Dilation of intestine,120797.0,1035.0,0.09015268059484227,1.0516252390057361,11.778283029738953,False,8.70978714135218e-09
802,4594,102.0,30.0,Large-to-large intestinal anastomosis,120804.0,1016.0,0.08436305890526526,2.8680688336520075,34.97105141269106,False,1.2670109985243692e-33
930,0DTF0ZZ,79.0,34.0,"Resection of Right Large Intestine, Open Approach",120827.0,1012.0,0.06534001621094074,3.2504780114722758,51.38487516885976,False,1.4097654501163778e-42
937,4579,78.0,11.0,Other and unspecified partial excision of large intestine,120828.0,1035.0,0.06451292739814402,1.0516252390057361,16.463619472315123,False,3.4872882745760823e-10
1035,0DJD4ZZ,67.0,12.0,"Inspection of Lower Intestinal Tract, Percutaneous Endoscopic Approach",120839.0,1034.0,0.05541495045738011,1.147227533460803,20.931146973065044,False,4.506601514176955e-12
1082,0DTF4ZZ,63.0,70.0,"Resection of Right Large Intestine, Percutaneous Endoscopic Approach",120843.0,976.0,0.05210659520619325,6.692160611854685,137.57172131147541,False,7.884210126509579e-108
1130,4686,60.0,16.0,Endoscopic insertion of colonic stent(s),120846.0,1030.0,0.04962532876780309,1.5296367112810707,31.286990291262136,False,5.135783792704903e-18
2618,0DTG4ZZ,17.0,12.0,"Resection of Left Large Intestine, Percutaneous Endoscopic Approach",120889.0,1034.0,0.014060509817544208,1.147227533460803,82.5274775287291,False,6.760512917173183e-18
