conceptId,idAndFsnTerm
726096009,726096009 | Imaging of small intestine (procedure) |
716694009,716694009 | Magnetic resonance enteroclysis (procedure) |
716235000,716235000 | Single-contrast barium enteroclysis (procedure) |
715970002,715970002 | Computed tomography of small intestine with contrast (procedure) |
715914001,715914001 | Insertion of catheter into cecostomy using fluoroscopic guidance (procedure) |
715313002,715313002 | Insertion of stent into bowel using fluoroscopic guidance (procedure) |
715275000,715275000 | Insertion of bioabsorbable stent into bowel using fluoroscopic guidance (procedure) |
713047006,713047006 | Endoscopic insertion of duodenal stent using fluoroscopic guidance (procedure) |
713046002,713046002 | Open reduction of intussusception of intestine (procedure) |
712815006,712815006 | Endoscopic closure of fistula of small intestine (procedure) |
711421003,711421003 | Fluoroscopic contrast enema (procedure) |
711356000,711356000 | Fluoroscopic hypotonic duodenography (procedure) |
711233006,711233006 | Reduction of intussusception of intestine using air enema (procedure) |
710579009,710579009 | Intubation of small bowel using fluoroscopic guidance (procedure) |
710203005,710203005 | Therapeutic contrast enema for reduction of intussusception of colon using fluoroscopic guidance (procedure) |
710197007,710197007 | Ultrasonography of appendix (procedure) |
709523008,709523008 | Magnetic resonance imaging of rectum with contrast (procedure) |
709192002,709192002 | Local excision of lesion of duodenum (procedure) |
708920006,708920006 | Laparoscopic anterior resection of rectum using robotic assistance (procedure) |
708913004,708913004 | Laparoscopic abdominoperineal resection using robotic assistance (procedure) |
708876004,708876004 | Laparoscopic appendectomy using robotic assistance (procedure) |
708645007,708645007 | Laparoscopic closure of ulcer of duodenum using patch (procedure) |
708642005,708642005 | Laparoscopic fixation of rectum using robotic assistance (procedure) |
708631001,708631001 | Laparoscopic-assisted low anterior resection of rectum (procedure) |
708627007,708627007 | Laparoscopic excision of small intestine (procedure) |
703071008,703071008 | Nasojejunal feeding tube procedure using fluoroscopic guidance (procedure) |
699721006,699721006 | Laparoscopic construction of cutaneous ureteroileostomy (procedure) |
698959000,698959000 | Endoscopic control of small intestine bleeding by clipping (procedure) |
698320000,698320000 | Endoscopic clipping for control of duodenal hemorrhage (procedure) |
609287009,609287009 | Endoscopic thermocoagulation of small intestine for control of hemorrhage (procedure) |
609282003,609282003 | Endoscopic destruction of tissue of large intestine (procedure) |
609279008,609279008 | Endoscopic excision of tissue of large intestine (procedure) |
609198002,609198002 | Endoscopic thermocoagulation of duodenum for control of hemorrhage (procedure) |
609197007,609197007 | Endoscopic surgical procedure on colon using laser (procedure) |
609196003,609196003 | Endoscopic surgical procedure on rectum using laser (procedure) |
609194000,609194000 | Endoscopic surgical procedure on duodenum using laser (procedure) |
450501004,450501004 | Laser recanalization of intestine (procedure) |
450461000,450461000 | Subtotal excision of colon and creation of colonic pouch (procedure) |
450353006,450353006 | Reduction of prolapse of rectum (procedure) |
449265009,449265009 | Magnetic resonance imaging of colon with contrast (procedure) |
449194009,449194009 | Sigmoidoscopic excision of polyp of rectum (procedure) |
449106004,449106004 | Colonoscopic excision of polyp of rectum (procedure) |
448829002,448829002 | Suturing of laceration of rectum (procedure) |
448811007,448811007 | Colonoscopic excision of mucosa of rectum (procedure) |
448799003,448799003 | Endoscopic dilation of ampulla of Vater (procedure) |
448653006,448653006 | Anterior resection of rectum and total mesorectal excision with colostomy (procedure) |
448596007,448596007 | Excision of rectal stump (procedure) |
448592009,448592009 | Sigmoidoscopic excision of mucosa of rectum (procedure) |
448360009,448360009 | Sigmoidoscopic argon plasma coagulation of lesion of rectum (procedure) |
448239001,448239001 | Endoscopic destruction of lesion of lower bowel using fiberoptic sigmoidoscope (procedure) |
448156002,448156002 | Excision of rectum by transanal approach (procedure) |
447982008,447982008 | Low anterior resection of rectum with colostomy (procedure) |
447979003,447979003 | Argon plasma coagulation of lesion of rectum (procedure) |
447977001,447977001 | Colonoscopic argon plasma coagulation of lesion of rectum (procedure) |
447946003,447946003 | Right hemicolectomy and ileostomy (procedure) |
447166008,447166008 | Hand assisted laparoscopic extended right colectomy (procedure) |
447021001,447021001 | Colonoscopy and tattooing (procedure) |
446886003,446886003 | Endoscopic ultrasonography of small intestine (procedure) |
446885004,446885004 | Endoscopy of small intestine using video capsule endoscopy system (procedure) |
446746001,446746001 | Excision of mucosa of duodenum (procedure) |
446416000,446416000 | Endoscopy of small intestine by transabdominal approach (procedure) |
446415001,446415001 | Endoscopy of large intestine by transabdominal approach (procedure) |
446414002,446414002 | Sigmoidoscopy and tattooing (procedure) |
446362009,446362009 | Argon plasma coagulation of colon (procedure) |
446228006,446228006 | Hand assisted laparoscopic extended left colectomy (procedure) |
446223002,446223002 | Hand assisted laparoscopic right colectomy (procedure) |
446222007,446222007 | Hand assisted laparoscopic left colectomy (procedure) |
446170008,446170008 | Colonoscopic excision of lesion of large intestine (procedure) |
446169007,446169007 | Decompression of large intestine (procedure) |
446024004,446024004 | Endoscopic excision of polyp of small intestine (procedure) |
446011004,446011004 | Endoscopic ultrasonography of colon (procedure) |
445986007,445986007 | Endoscopic excision of mucosa of duodenum (procedure) |
445975005,445975005 | Excision of polyp of duodenum (procedure) |
445954002,445954002 | Computed tomography of colon using intravenous contrast (procedure) |
445938000,445938000 | Argon plasma coagulation of lesion of duodenum (procedure) |
445935002,445935002 | Argon plasma coagulation of lesion of sigmoid colon (procedure) |
445934003,445934003 | Argon plasma coagulation of lesion of small intestine (procedure) |
445892000,445892000 | Sigmoidoscopic excision of lesion of large intestine (procedure) |
445891007,445891007 | Suturing of laceration of small intestine (procedure) |
445884009,445884009 | Wedge resection of colon (procedure) |
445863004,445863004 | Loopogram of colon (procedure) |
445716005,445716005 | Endoscopic dilation of small intestine (procedure) |
444783004,444783004 | Screening colonoscopy (procedure) |
444688002,444688002 | Suspension and fixation of rectum to wall of vagina for prolapse of rectum (procedure) |
443935000,443935000 | Excision of ruptured appendix by open approach (procedure) |
443908009,443908009 | Excision of part of rectum by perineal approach (procedure) |
443665007,443665007 | Transanal disk excision of rectum (procedure) |
443605009,443605009 | Mobilization of splenic flexure of colon (procedure) |
443480008,443480008 | Laparoscopic excision of part of colon (procedure) |
443407008,443407008 | Revision of anastomosis of intestine (procedure) |
443037006,443037006 | Percutaneous drainage of abscess of appendix using computed tomography guidance (procedure) |
442830000,442830000 | Endoscopic excision of polyp of large intestine using sigmoidoscope (procedure) |
442285009,442285009 | Excision of intestinal structure (procedure) |
441751006,441751006 | Transplantation of intestine (procedure) |
441538004,441538004 | Computed tomography of small intestine (procedure) |
440549000,440549000 | Insertion of peripancreatic drain with jejunostomy (procedure) |
440222004,440222004 | Destruction of malignant neoplasm of rectum using cryosurgery (procedure) |
440032004,440032004 | Laparoscopic fixation of prolapse of rectum (procedure) |
439927007,439927007 | Measurement of rectal sensation and rectal tone and rectal compliance (procedure) |
439587001,439587001 | Harvesting of small intestine from cadaver donor (procedure) |
439071008,439071008 | Complete removal of allograft of intestine (procedure) |
438775000,438775000 | Reduction of volvulus of small intestine (procedure) |
438216009,438216009 | Balloon expulsion test (procedure) |
438215008,438215008 | Harvesting of part of small intestine from living donor (procedure) |
433246009,433246009 | Radionuclide study for small bowel transit time (procedure) |
432660009,432660009 | Endoscopic insertion of bowel stent using fluoroscopic guidance (procedure) |
431944009,431944009 | Computed tomography with contrast enema (procedure) |
431943003,431943003 | Fluoroscopic ileostomy enema with water soluble contrast (procedure) |
431935008,431935008 | Fluoroscopic ileostomy barium enema (procedure) |
431722009,431722009 | Insertion of nasojejunal feeding tube using fluoroscopic guidance (procedure) |
431670008,431670008 | Replacement of jejunostomy tube using fluoroscopic guidance (procedure) |
431627008,431627008 | Magnetic resonance imaging of small intestine (procedure) |
431476005,431476005 | Fluoroscopic colostomy enema with water soluble contrast (procedure) |
431470004,431470004 | Cecostomy using fluoroscopic guidance (procedure) |
431462009,431462009 | Therapeutic water soluble enema and fluoroscopy of colon (procedure) |
431334003,431334003 | Radionuclide imaging of small intestine for Meckel diverticulum (procedure) |
431214001,431214001 | Computed tomography enteroclysis (procedure) |
430798009,430798009 | Transanal resection of rectum and anastomosis using staples (procedure) |
429820004,429820004 | Endorectal ultrasonography (procedure) |
426775000,426775000 | Imaging guided removal of colorectal stent (procedure) |
426738005,426738005 | Duodenal switch (procedure) |
426699005,426699005 | Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope (procedure) |
426585001,426585001 | Imaging guided insertion of colorectal stent (procedure) |
426463009,426463009 | Allotransplantation of ileum (procedure) |
425851003,425851003 | Fiberoptic endoscopic submucosal resection of lesion of colon (procedure) |
425616008,425616008 | Transplantation of ileum (procedure) |
420108003,420108003 | Fluoroscopy of bowel (procedure) |
419773005,419773005 | Small bowel series with water soluble contrast follow through (procedure) |
419595006,419595006 | Fluoroscopic duodenography (procedure) |
419344005,419344005 | Barium small bowel meal (procedure) |
418294002,418294002 | Fluoroscopy of colon (procedure) |
418210005,418210005 | Magnetic resonance imaging of colon (procedure) |
418181007,418181007 | X-ray for colonic transit study (procedure) |
417679006,417679006 | Tc-99m hexamethylpropyleneamine oxime leukocyte bowel scan (procedure) |
414527008,414527008 | Interposition procedure of large intestine (procedure) |
414526004,414526004 | Interposition procedure of intestine (procedure) |
410007005,410007005 | Rectal examination (procedure) |
410006001,410006001 | Digital examination of rectum (procedure) |
400988008,400988008 | High anterior resection of rectum (procedure) |
398801000,398801000 | Exteriorization of colon (procedure) |
398765001,398765001 | Therapeutic barium enema for reduction of intussusception (procedure) |
398243002,398243002 | Repair of rectocele (procedure) |
398135004,398135004 | Exteriorization of cecum (procedure) |
397162005,"397162005 | Mikulicz operation, exteriorization of intestine, first stage (procedure) |"
397161003,"397161003 | Rankin operation, exteriorization of intestine (procedure) |"
397160002,397160002 | Paul-Mikulicz operation (procedure) |
397159007,397159007 | Exteriorization of intestine (procedure) |
395152004,395152004 | Single layer hand sewn intestinal anastomosis (procedure) |
395151006,395151006 | Multi-layer hand sewn intestinal anastomosis (procedure) |
395140006,395140006 | Primary intestinal anastomosis (procedure) |
395136002,395136002 | Total mesorectal excision (procedure) |
387861003,387861003 | Excision of rectal mucosa (procedure) |
387860002,387860002 | Excision rectal mucosal prolapse (procedure) |
386225006,386225006 | Irrigation of bowel (procedure) |
386197003,386197003 | Excision of diverticula of colon (procedure) |
386196007,386196007 | Excision of diverticulum from large intestine (procedure) |
372442008,372442008 | Cytologic examination of large intestine (procedure) |
367436000,367436000 | Permanent ileostomy (procedure) |
361173000,361173000 | Destruction of lesion of rectum by fulguration (procedure) |
361153005,361153005 | Repair of stoma of large intestine (procedure) |
361152000,361152000 | Revision of stoma of large intestine (procedure) |
359863000,359863000 | Open biopsy of colon (procedure) |
359860002,359860002 | Colotomy for biopsy (procedure) |
359605007,359605007 | Fixation of ileum to abdominal wall (procedure) |
359603000,359603000 | Repair of jejunostomy (procedure) |
359602005,359602005 | Fine needle biopsy of rectum (procedure) |
359596007,359596007 | Fixation of jejunum to abdominal wall (procedure) |
359594005,359594005 | Duodenorrhaphy (procedure) |
359591002,359591002 | Suture of laceration of duodenum (procedure) |
359588002,359588002 | Fixation of duodenum (procedure) |
359584000,359584000 | Fixation of duodenum to abdominal wall (procedure) |
359583006,359583006 | Endoscopy of jejunum through artificial stoma (procedure) |
359574001,359574001 | Closure of ulcer of duodenum (procedure) |
359571009,359571009 | Right colectomy (procedure) |
359564004,359564004 | Open biopsy of duodenum (procedure) |
359562000,359562000 | Duodenotomy for biopsy (procedure) |
359548007,359548007 | Open biopsy of small intestine (procedure) |
359544009,359544009 | Enterotomy of small bowel for biopsy (procedure) |
359539002,359539002 | Fine needle biopsy of small intestine (procedure) |
346950004,346950004 | Radiologic examination of colon by air contrast (procedure) |
341729004,341729004 | Manual reduction of torsion of intestine (procedure) |
315328007,315328007 | Anterior resection of rectum with anastomosis (procedure) |
315327002,315327002 | Sigmoid colectomy with stoma (procedure) |
315325005,315325005 | Left hemicolectomy with stoma (procedure) |
315319006,315319006 | Anastomosis of intestine to anus (procedure) |
315294004,315294004 | Contrast enema (procedure) |
314639005,314639005 | Excision of reversed onlay intestinal graft (procedure) |
314638002,314638002 | Excision of reversed intestinal segment (procedure) |
314610005,314610005 | Transanal submucosal excision of rectal tumor (procedure) |
314599004,314599004 | Injection of epinephrine into lesion of duodenum for hemostasis (procedure) |
314592008,314592008 | Low anterior resection of rectum (procedure) |
312694003,312694003 | Excision of necrotic patch of small intestine (procedure) |
312497000,312497000 | Salvage abdominoperineal resection of rectum (procedure) |
311774002,311774002 | Colonoscopic polypectomy (procedure) |
310804003,310804003 | Interposition of microvascularly attached jejunum (procedure) |
310803009,310803009 | Interposition of microvascularly attached colon (procedure) |
307709007,307709007 | Repair of perforated colon (procedure) |
307668009,307668009 | Creation of rectal mucous fistula (procedure) |
307666008,307666008 | Total colectomy and ileostomy (procedure) |
307665007,307665007 | Closure of defunctioning colostomy (procedure) |
307663000,307663000 | Exploration of colon (procedure) |
307658004,307658004 | Sigmoid colectomy and colostomy (procedure) |
307657009,307657009 | Left hemicolectomy and colostomy (procedure) |
307648003,307648003 | Sigmoid colectomy and ileostomy (procedure) |
307645000,307645000 | Transverse colectomy and colostomy (procedure) |
307644001,307644001 | Transverse colectomy and ileostomy (procedure) |
307586000,307586000 | Laparoscopic transverse colectomy (procedure) |
307584002,307584002 | Cecoplasty (procedure) |
307583008,307583008 | Excision of cecum (procedure) |
307581005,307581005 | Laparoscopic interval appendectomy (procedure) |
307562002,307562002 | Closure of gastroenterostomy (procedure) |
307561009,307561009 | Ileectomy and ileostomy (procedure) |
307559000,307559000 | Savage intestinal decompression (procedure) |
307558008,307558008 | Decompression of intestine (procedure) |
307555006,307555006 | Enterotomy and removal of gallstone (procedure) |
307511000,307511000 | Under-running of bleeding duodenal ulcer (procedure) |
307510004,307510004 | Oversewing of bleeding duodenal ulcer (procedure) |
307368004,307368004 | Repair of ileum (procedure) |
307367009,307367009 | Repair of small intestine (procedure) |
307366000,307366000 | Destruction of lesion of ileostomy (procedure) |
307364002,307364002 | Repair of jejunum (procedure) |
307261008,307261008 | Closure of perforated bowel ulcer (procedure) |
307260009,307260009 | Suture of duodenal ulcer (procedure) |
307245006,307245006 | Dilatation of rectal anastomotic stricture (procedure) |
307244005,307244005 | Dilatation of rectal stricture (procedure) |
307242009,307242009 | Dilatation of colonic anastomotic stricture (procedure) |
307241002,307241002 | Dilatation of colonic stricture (procedure) |
307193005,307193005 | Resection of terminal ileum (procedure) |
307009004,307009004 | Wedge resection of rectum (procedure) |
304587000,304587000 | Excision of colonic pouch (procedure) |
304586009,304586009 | Revision of colonic pouch (procedure) |
304583001,304583001 | Extended right hemicolectomy and ileostomy (procedure) |
303909000,303909000 | Radionuclide small intestine study (procedure) |
303596008,303596008 | Biopsy of lesion of duodenal papilla (procedure) |
303585000,303585000 | Transsphincteric biopsy of rectum (procedure) |
303584001,303584001 | Sphincter-saving proctectomy (procedure) |
303582002,303582002 | Electrocoagulation of lesion - large intestine (procedure) |
303398005,303398005 | Electrocoagulation of lesion - small intestine (procedure) |
303395008,303395008 | Electrocoagulation of duodenal lesion (procedure) |
302354002,302354002 | Small intestinal strictureplasty (procedure) |
301700004,301700004 | Snare resection of lesion of rectum (procedure) |
301699000,301699000 | Snare resection of lesion of colon (procedure) |
301698008,301698008 | Snare resection of lesion - large intestine (procedure) |
301298001,301298001 | Surgical dilatation of small intestine (procedure) |
301089009,301089009 | Surgical dilatation of duodenum (procedure) |
299694009,299694009 | Biopsy of ileum (procedure) |
299693003,299693003 | Biopsy of jejunum (procedure) |
299681007,299681007 | Construction of transverse loop colostomy (procedure) |
289060008,289060008 | Anterior resection of rectal prolapse (procedure) |
288122006,288122006 | Colonoscopy and removal of foreign body from lower bowel (procedure) |
287993008,287993008 | Bowel torsion manipulation (procedure) |
287829003,287829003 | Enterotomy for drainage (procedure) |
287828006,287828006 | Duodenal ulcer excision (procedure) |
287827001,287827001 | Excision of redundant mucosa from ileostomy (procedure) |
287824008,287824008 | Enterotomy for exploration (procedure) |
287815004,287815004 | Excision of excess colostomy mucosa (procedure) |
287807002,287807002 | Internal closure - rectal fistula (procedure) |
287806006,287806006 | External closure - rectal fistula (procedure) |
287793003,287793003 | Intestine bypass shunt (procedure) |
287790000,287790000 | Stoma scar tissue released (procedure) |
287788001,287788001 | Bowel stoma closure (procedure) |
287786002,287786002 | Decompression of rectum (procedure) |
287784004,287784004 | Local excision of rectum (procedure) |
287783005,287783005 | Bowel stoma repair (procedure) |
287559004,287559004 | Surgical biopsy of small intestine (procedure) |
287531000,287531000 | Enteroscopy via paracentesis (procedure) |
286780001,286780001 | Duodenoscopy through artificial stoma (procedure) |
281413005,281413005 | Duodenoplasty (procedure) |
276186005,276186005 | Repair of rectum (procedure) |
276019009,276019009 | Gastrografin enema (procedure) |
275230005,275230005 | Repair of duodenum (procedure) |
275197003,275197003 | Manual procedures on rectum (procedure) |
275017002,275017002 | Duhamel removal of colorectal septum (procedure) |
275013003,275013003 | Peranal destruction of rectal polyp (procedure) |
275012008,275012008 | Peranal excision of rectal polyp (procedure) |
275011001,275011001 | Ripstein fixation of rectum using polytetrafluoroethylene mesh (procedure) |
274382000,274382000 | Operative enteroscopy (procedure) |
274352006,274352006 | Surgical biopsy of rectum (procedure) |
274351004,274351004 | Surgical biopsy of colon (procedure) |
274348006,274348006 | Surgical biopsy of intestine (procedure) |
274324002,274324002 | Endoscopic biopsy of rectum (procedure) |
274323008,274323008 | Endoscopic biopsy of colon (procedure) |
274322003,274322003 | Crosbie duodenal biopsy (procedure) |
274031008,274031008 | Rectal polypectomy (procedure) |
274025005,274025005 | Colonic polypectomy (procedure) |
271996001,271996001 | Excision of duodenal web (procedure) |
271490000,271490000 | Open endoscopic operation on colon (procedure) |
271489009,271489009 | Open endoscopic operations on jejunum (procedure) |
265455000,265455000 | Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus (procedure) |
265426008,265426008 | Peranal destruction of lesion of rectum (procedure) |
265425007,265425007 | Excision of lesion of rectum by transanal approach (procedure) |
265420002,265420002 | Sponge rectopexy (procedure) |
265418000,265418000 | Fixation of rectum using fascia lata (procedure) |
265417005,265417005 | Posterior fixation of rectum using prosthetic material (procedure) |
265415002,265415002 | Open extirpation of lesion of rectum (procedure) |
265414003,265414003 | Abdominoperineal resection of rectum (procedure) |
265407000,265407000 | Endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope (procedure) |
265404007,265404007 | Endoscopic extirpation of lesion of lower bowel using fiberoptic sigmoidoscope (procedure) |
265402006,265402006 | Endoscopic extirpation of lesion of colon (procedure) |
265380001,265380001 | Jejunojejunal bypass (procedure) |
265376006,265376006 | Endoscopic extirpation of lesion of duodenum (procedure) |
265375005,265375005 | Correction of malrotation of duodenum (procedure) |
252685009,252685009 | Nardi test (procedure) |
252675008,252675008 | Mannitol/cellobiose ratio small intestine permeability study (procedure) |
252674007,252674007 | Radionuclide small intestine permeability study (procedure) |
248352005,248352005 | Permanent continent ileostomy (procedure) |
245667003,"245667003 | Paul operation, temporary ileostomy (procedure) |"
243775002,243775002 | Construction of cutaneous ureteroileostomy (procedure) |
242646007,"242646007 | Bricker's operation, ureteroileostomy (procedure) |"
241674004,241674004 | Operative endoscopy of rectum (procedure) |
241629006,241629006 | Magnetic resonance imaging of rectum (procedure) |
241477001,241477001 | Ultrasound scan of bowel (procedure) |
241337005,241337005 | Radionuclide study for rectal transit (procedure) |
241336001,241336001 | Radionuclide study for colonic transit (procedure) |
241335002,241335002 | Radionuclide large intestine study (procedure) |
241334003,241334003 | Measuring permeability of small intestine using radiolabeled macromolecules (procedure) |
241333009,241333009 | Measuring permeability of small intestine using radiolabeled serum proteins (procedure) |
241168000,241168000 | Water soluble contrast enema (procedure) |
241167005,241167005 | Instant barium enema (procedure) |
241166001,241166001 | Distal loop enema (procedure) |
241165002,241165002 | Single contrast barium enema (procedure) |
241164003,241164003 | Double contrast barium enema (procedure) |
241163009,241163009 | Ileostomy enema (procedure) |
241162004,241162004 | Small bowel barium enema (procedure) |
241161006,241161006 | Small bowel meal plus pneumocolon (procedure) |
241160007,241160007 | Small bowel meal (procedure) |
240959006,240959006 | Therapeutic barium enema (procedure) |
238298006,238298006 | Fistulectomy of rectum (procedure) |
238236007,238236007 | Excision of vitelline fistula (procedure) |
236783000,236783000 | Terminal ileum bypass (procedure) |
236205009,236205009 | Revision of colonic conduit (procedure) |
235593002,235593002 | Biopsy of lesion of ampulla of Vater (procedure) |
235592007,235592007 | Biopsy of duodenal papilla (procedure) |
235591000,235591000 | Laser therapy of ampullary tumor (procedure) |
235590004,235590004 | Destruction lesion of ampulla Vater (procedure) |
235589008,235589008 | Destruction of lesion of duodenal papilla (procedure) |
235588000,235588000 | Excision of duodenal papilla (procedure) |
235585002,235585002 | Dilatation of duodenal papilla (procedure) |
235584003,235584003 | Sphincterotomy of accessory papilla (procedure) |
235582004,235582004 | Sphincterotomy of duodenal papilla (procedure) |
235581006,235581006 | Sphincteroplasty of duodenal papilla (procedure) |
235407009,235407009 | Gastrointestinal tract anastomosis - intestine (procedure) |
235406000,235406000 | Removal of ileostomy bridge (procedure) |
235399004,235399004 | Manual reduction of bowel volvulus (procedure) |
235379005,235379005 | Lateral ligament suspension (procedure) |
235378002,235378002 | Mesh rectopexy (procedure) |
235377007,235377007 | Posterior fixation of rectum (procedure) |
235376003,235376003 | Anterior fixation of rectum (procedure) |
235367005,235367005 | Duhamel procedure with Lester Martin modification (procedure) |
235366001,235366001 | Duhamel procedure (procedure) |
235365002,235365002 | Swenson procedure (procedure) |
235364003,235364003 | Total proctectomy (procedure) |
235360007,235360007 | Dunphy repair for rectal prolapse (procedure) |
235358005,235358005 | Distal colon loop washout via loop colostomy (procedure) |
235357000,235357000 | Irrigation of colon via cecostomy tube (procedure) |
235356009,235356009 | Decompression of sigmoid colon using flatus tube (procedure) |
235355008,235355008 | Closure of perforated large intestine (procedure) |
235349003,235349003 | Cryotherapy of lesion - large intestine (procedure) |
235348006,235348006 | Destruction of lesion of large intestine using thermal probe (procedure) |
235346005,235346005 | Laser treatment of lesion - large intestine (procedure) |
235345009,235345009 | Cauterization of lesion - large intestine (procedure) |
235344008,235344008 | Fiberoptic endoscopic extirpation of lesion of colon (procedure) |
235343002,235343002 | Colonoscopy and extirpation of lesion of colon (procedure) |
235342007,235342007 | Endoscopic extirpation of lesion of rectum using fiberoptic sigmoidoscope (procedure) |
235341000,235341000 | Open operation on rectal polyp (procedure) |
235340004,235340004 | Excision of polyp of large intestine (procedure) |
235338009,235338009 | Balloon dilatation of stricture - large intestine (procedure) |
235337004,235337004 | Dilatation of stricture - large intestine (procedure) |
235334006,235334006 | Oversewing of rectal stump (procedure) |
235333000,235333000 | Oversewing of distal bowel (procedure) |
235332005,235332005 | Creation of ileal pouch (procedure) |
235325001,235325001 | Extended left hemicolectomy (procedure) |
235320006,235320006 | Transverse taeniamyotomy (procedure) |
235316007,235316007 | Malone's operation (procedure) |
235313004,235313004 | Non-emergency appendectomy (procedure) |
235307008,235307008 | Bypass of small intestine (procedure) |
235305000,235305000 | Interposition of small intestine (procedure) |
235304001,235304001 | Closure of perforated small intestine (procedure) |
235303007,235303007 | Cryotherapy of lesion - small intestine (procedure) |
235302002,235302002 | Destruction of lesion of small intestine using thermal probe (procedure) |
235300005,235300005 | Laser treatment of lesion - small intestine (procedure) |
235299002,235299002 | Cauterization of lesion - small intestine (procedure) |
235298005,235298005 | Polypectomy - small intestine (procedure) |
235296009,235296009 | Correction of malrotation of intestine (procedure) |
235294007,235294007 | Balloon dilatation of stricture - small intestine (procedure) |
235293001,235293001 | Dilatation of stricture - small intestine (procedure) |
235292006,235292006 | Santulli enterostomy (procedure) |
235291004,235291004 | Bishop-Koop anastomosis (procedure) |
235287009,235287009 | Transmesenteric plication (procedure) |
235286000,235286000 | Roux-en-Y transposition of jejunum (procedure) |
235285001,235285001 | Loop transposition of jejunum (procedure) |
235271006,235271006 | Application of hemoclips onto duodenal lesion (procedure) |
235270007,235270007 | Heater probe treatment of duodenal lesion (procedure) |
235269006,235269006 | Cryotherapy of duodenal lesion (procedure) |
235267008,235267008 | Laser treatment of duodenal lesion (procedure) |
235264001,235264001 | Balloon dilatation of duodenal stricture (procedure) |
235263007,235263007 | Dilatation of duodenal stricture (procedure) |
235261009,235261009 | Biopsy of duodenum (procedure) |
235260005,235260005 | Closure of perforated duodenum using omental patch (procedure) |
235259000,235259000 | Closure of perforated duodenum (procedure) |
235255006,235255006 | Excision of duodenal atresia with tapering (procedure) |
235254005,235254005 | Excision of duodenal atresia (procedure) |
235253004,235253004 | Excision of cyst of duodenum (procedure) |
235171001,235171001 | Jejunal interposition (procedure) |
235153008,235153008 | Rigid sigmoidoscopy (procedure) |
235152003,235152003 | Enterorrhaphy of small intestine (procedure) |
235151005,235151005 | Limited colonoscopy (procedure) |
235150006,235150006 | Total colonoscopy (procedure) |
235149006,235149006 | Pull enteroscopy (procedure) |
