concept,methods,category
428624002,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
16442821000119108,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
307244005,"['129419002 | Dilation - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
241337005,"['360037004 | Imaging - action (qualifier value) |', '312421008 | Radionuclide imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
35753000,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
711421003,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
1156708005,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
1156525005,,
174349004,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
275011001,"['129371009 | Fixation - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
235358005,"['129332006 | Irrigation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
447982008,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
274353001,"['360028004 | Surgical biopsy - action (qualifier value) |', '129314006 | Biopsy - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
312695002,"['360032005 | Flap reconstruction - action (qualifier value) |', '257903006 | Repair - action (qualifier value) |', '129377008 | Reconstruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
231764006,"['129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
41330009,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
879915007,"['360270004 | Therapy - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
50000005,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
700357007,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
836429007,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129326001 | Injection - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
22656002,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
447946003,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129354008 | Exteriorization - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169366003,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169296006,,
49645007,"['257903006 | Repair - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
40366003,,
174215005,"['129419002 | Dilation - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169359004,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
447704003,"['360037004 | Imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
112873000,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
312407006,"['257903006 | Repair - action (qualifier value) |', '257742003 | Direct anastomosis - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
33195004,,
446521004,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
77959002,"['360021005 | Bypass - action (qualifier value) |', '257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169372003,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
69926006,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
228666003,,
235409007,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
608807008,"['257903006 | Repair - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
32044008,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
228685000,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
174347002,"['257903006 | Repair - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
64522003,"['129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
314605006,,
169298007,,
287808007,"['129392009 | Cauterization - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
44642007,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129354008 | Exteriorization - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
312248006,,
274352006,"['360028004 | Surgical biopsy - action (qualifier value) |', '129314006 | Biopsy - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
50774009,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
710293001,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
9215005,"['129287005 | Incision - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
84604002,"['129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
11331000224100,"['129382001 | Destruction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
5722009,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
782838000,"['129371009 | Fixation - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
68275008,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
40809003,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
431462009,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
14771009,"['129399000 | Electrodestruction - action (qualifier value) |', '129396007 | Electrodesiccation - action (qualifier value) |', '129392009 | Cauterization - action (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
118640001,"['257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
24622007,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
57655007,"['257903006 | Repair - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
133870002,"['257903006 | Repair - action (qualifier value) |', '129357001 | Closure - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
314604005,,
76062007,"['257903006 | Repair - action (qualifier value) |', '257742003 | Direct anastomosis - action (qualifier value) |', '257741005 | Anastomosis - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
169310003,,
34984003,"['360028004 | Surgical biopsy - action (qualifier value) |', '129315007 | Incisional biopsy - action (qualifier value) |', '129314006 | Biopsy - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
1186912002,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
396225009,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129314006 | Biopsy - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
77738002,"['129445006 | Administration - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
228696008,"['313029009 | Brachytherapy - action (qualifier value) |', '257863009 | Radioactive destruction (qualifier value) |', '129382001 | Destruction - action (qualifier value) |', '129336009 | Implantation - action (qualifier value) |', '129325002 | Introduction - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
384091000119108,"['360037004 | Imaging - action (qualifier value) |', '312275004 | Fluoroscopic imaging - action (qualifier value) |', '278110001 | Radiographic imaging - action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
25196007,"['257903006 | Repair - action (qualifier value) |', '129376004 | Construction - action (qualifier value) |', '129306000 | Surgical removal - action (qualifier value) |', '129304002 | Excision - action (qualifier value) |', '129303008 | Removal - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129264002 | Action (qualifier value) |']",
38104006,,
709421007,"['419656003 | Examination AND/OR history taking - action (qualifier value) |', '302199004 | Examination - action (qualifier value) |', '129433002 | Inspection - action (qualifier value) |', '129419002 | Dilation - action (qualifier value) |', '129284003 | Surgical action (qualifier value) |', '129265001 | Evaluation - action (qualifier value) |', '129264002 | Action (qualifier value) |']",
