conceptId,idAndFsnTerm
169057008,169057008 | Kymography - lungs (procedure) |
169021003,169021003 | Fluoroscopy and radiography - lungs (procedure) |
169003001,169003001 | Fluoroscopy - lungs (procedure) |
119756006,119756006 | Lung destructive procedure (procedure) |
119755005,119755005 | Lung reconstruction (procedure) |
119753003,119753003 | Lung closure (procedure) |
119749000,119749000 | Lung injection (procedure) |
119746007,119746007 | Lung excision (procedure) |
118794001,118794001 | Procedure on lung (procedure) |
116165008,116165008 | Bronchial sleeve resection with pulmonary resection (procedure) |
116030005,116030005 | Wedge biopsy of lung (procedure) |
91596000,91596000 | Complete excision of lung with mediastinal dissection (procedure) |
90249002,90249002 | Pneumocentesis (procedure) |
89862001,89862001 | Repair of lung (procedure) |
88628008,88628008 | Ultrasonography of lung (procedure) |
88039007,88039007 | Transplant of lung (procedure) |
87674005,"87674005 | Pulmonary ventilation study, total (procedure) |"
86811003,"86811003 | Pulmonary ventilation study, aerosol (procedure) |"
84840003,84840003 | Total lobectomy of lung with concomitant decortication (procedure) |
82651004,82651004 | Suture of lung (procedure) |
81070005,81070005 | Bronchoscopy through tracheostomy with biopsy of lung (procedure) |
80308001,80308001 | Pulmonary ventilation-perfusion study by radioactive carbon (procedure) |
78603008,78603008 | Biopsy of lung (procedure) |
77648009,77648009 | Excision of lesion of lung (procedure) |
75935006,75935006 | Thoracoscopic lobectomy of lung (procedure) |
75766009,"75766009 | Pulmonary ventilation study, gaseous (procedure) |"
74219000,"74219000 | Pulmonary perfusion imaging, gaseous, with ventilation, rebreathing and washout (procedure) |"
67361001,67361001 | Pulmonary ventilation-perfusion study by radioactive nitrogen (procedure) |
67244001,67244001 | Incision and exploration of lung (procedure) |
67160005,67160005 | Empyemectomy with lobectomy (procedure) |
66605009,66605009 | Cardiopneumopexy (procedure) |
66258007,66258007 | Thoracoscopic biopsy of lung (procedure) |
66088009,66088009 | Pulmonary perfusion study (procedure) |
64682006,"64682006 | Pulmonary perfusion imaging, gaseous (procedure) |"
62843007,62843007 | Manipulation of lung (procedure) |
62511003,62511003 | Autotransplant of lung (procedure) |
57113004,57113004 | Pulmonary ventilation study (procedure) |
56897006,56897006 | Major thoracotomy with removal of intrapulmonary foreign body (procedure) |
52340003,52340003 | Angiography of bilateral pulmonary arteries (procedure) |
50788008,50788008 | Pulmonary ventilation-perfusion study by radioactive xenon (procedure) |
49795001,49795001 | Total pneumonectomy (procedure) |
49528005,49528005 | Local destruction of lesion of lung (procedure) |
49404006,49404006 | Surgical collapse of lung by destruction of phrenic nerve (procedure) |
47806007,47806007 | Bronchoscopy with drainage of lung abscess (procedure) |
46412002,46412002 | Apicectomy lung (procedure) |
45558009,45558009 | Incision of lung (procedure) |
43831007,43831007 | Percutaneous core needle biopsy of lung (procedure) |
43232006,43232006 | Extrapleural pneumonectomy with empyemectomy (procedure) |
40902008,40902008 | Segmental lobectomy with bronchoplasty (procedure) |
37859006,37859006 | Pulmonary ventilation perfusion study (procedure) |
35295005,35295005 | Percutaneous fine needle biopsy of lung (procedure) |
33639009,33639009 | Segmental lobectomy with concomitant decortication (procedure) |
32477003,32477003 | Heart-lung transplant with recipient cardiectomy-pneumonectomy (procedure) |
31962004,"31962004 | Pulmonary perfusion imaging, particulate (procedure) |"
26411001,26411001 | Decortication of lung and parietal pleurectomy (procedure) |
25321000,25321000 | Thoracoscopic pneumonectomy (procedure) |
22089003,22089003 | Pulmonary ventilation-perfusion study by radioactive oxygen (procedure) |
20142006,20142006 | Excision of accessory or ectopic lung tissue (procedure) |
18522006,18522006 | Donor cardiectomy-pneumonectomy with preparation and maintenance of homograft (procedure) |
14681002,14681002 | Reimplantation of lung (procedure) |
12986006,12986006 | Excision of Pancoast tumor of lung (procedure) |
11971003,11971003 | Pulmonary ventilation-perfusion study by radioactive krypton (procedure) |
3654008,3654008 | Lingulectomy of lung (procedure) |
3001009,3001009 | Total lobectomy with bronchoplasty (procedure) |
435001,435001 | Pulmonary inhalation study (procedure) |
119000,119000 | Thoracoscopic partial lobectomy of lung (procedure) |
